Timestamp;Topico;Valor
2025-11-15T22:46:51.416213;lan/sala2/sensor/temp;23.04
2025-11-15T22:50:03.182038;lan/sala1/sensor/hum;22.37
2025-11-15T22:50:03.475239;lan/sala2/sensor/temp;22.78
2025-11-15T22:50:04.476456;lan/sala2/sensor/temp;22.31
2025-11-15T22:50:04.528480;lan/sala1/sensor/temp;22.43
2025-11-15T22:50:06.182747;lan/sala1/sensor/hum;23.39
2025-11-15T22:50:07.477228;lan/sala2/sensor/temp;24.0
2025-11-15T22:50:07.529584;lan/sala1/sensor/temp;24.16
2025-11-15T22:50:08.183239;lan/sala1/sensor/hum;22.65
2025-11-15T22:50:10.477439;lan/sala2/sensor/temp;22.19
2025-11-15T22:50:10.529834;lan/sala1/sensor/temp;20.07
2025-11-15T22:50:11.183687;lan/sala1/sensor/hum;24.06
2025-11-15T22:50:13.478107;lan/sala2/sensor/temp;22.16
2025-11-15T22:50:42.770526;lan/sala1/sensor/hum;24.55
2025-11-15T22:50:43.099805;lan/sala2/sensor/temp;22.64
2025-11-15T22:50:43.694364;lan/sala1/sensor/temp;23.5
2025-11-15T22:50:44.099952;lan/sala2/sensor/temp;22.16
2025-11-15T22:50:44.771576;lan/sala1/sensor/hum;20.36
2025-11-15T22:50:45.100218;lan/sala2/sensor/temp;23.05
2025-11-15T22:50:45.771952;lan/sala1/sensor/hum;24.86
2025-11-15T22:50:46.695583;lan/sala1/sensor/temp;23.1
2025-11-15T22:50:47.773165;lan/sala1/sensor/hum;22.11
2025-11-15T22:50:48.100669;lan/sala2/sensor/temp;20.99
2025-11-15T22:50:49.696487;lan/sala1/sensor/temp;21.25
2025-11-15T22:50:49.774186;lan/sala1/sensor/hum;22.28
2025-11-15T22:50:50.101211;lan/sala2/sensor/temp;21.03
2025-11-15T22:50:52.696751;lan/sala1/sensor/temp;23.61
2025-11-15T22:50:52.775270;lan/sala1/sensor/hum;22.19
2025-11-15T22:50:53.101787;lan/sala2/sensor/temp;21.73
2025-11-15T22:50:54.102292;lan/sala2/sensor/temp;23.92
2025-11-15T22:50:54.775824;lan/sala1/sensor/hum;20.8
2025-11-15T22:50:55.697171;lan/sala1/sensor/temp;22.56
2025-11-15T22:50:55.777064;lan/sala1/sensor/hum;21.89
2025-11-15T22:50:57.102798;lan/sala2/sensor/temp;21.4
2025-11-15T22:50:57.698179;lan/sala1/sensor/temp;20.04
2025-11-15T22:50:58.103560;lan/sala2/sensor/temp;22.23
2025-11-15T22:50:58.778261;lan/sala1/sensor/hum;23.5
2025-11-15T22:50:59.104180;lan/sala2/sensor/temp;21.41
2025-11-15T22:50:59.698468;lan/sala1/sensor/temp;22.91
2025-11-15T22:51:01.105308;lan/sala2/sensor/temp;24.92
2025-11-15T22:51:01.699099;lan/sala1/sensor/temp;24.83
2025-11-15T22:51:01.778941;lan/sala1/sensor/hum;20.49
2025-11-15T22:51:03.700092;lan/sala1/sensor/temp;23.92
